time,power_root,ID:1,ID:2,ID:3,ID:4,ID:5,ID:6
1,0,0,0,0,0,0,0
2,1,0,0,0,0,0,0
3,1,0,0,0,0,0,0
4,1,0,0,0,0,0,0
5,1,0,0,0,0,0,0
6,1,0,0,0,0,0,0
7,1,0,0,0,0,0,0
8,1,0,0,0,0,0,0
9,1,0,1,0,0,0,0
10,1,0,1,1,0,0,0
11,1,0,1,1,1,0,0
12,1,0,1,1,1,0,0
13,1,1,1,1,1,0,0
14,1,1,1,1,1,0,0
15,1,1,1,1,1,0,0
16,1,1,1,1,1,0,0
17,1,1,1,1,1,0,0
18,1,1,1,1,1,0,0
19,1,1,1,1,1,0,0
20,1,1,1,1,1,0,0
21,1,1,1,1,1,0,0
22,1,1,1,1,1,0,0
23,1,1,1,1,1,0,0
24,1,1,1,1,1,0,0
25,1,1,1,1,1,0,0
26,1,1,1,1,1,0,0
27,1,1,1,1,1,0,0
28,1,1,1,1,1,0,0
29,1,1,1,1,1,0,0
30,1,1,1,1,1,0,0
31,1,1,1,1,1,0,0
32,1,1,1,1,1,0,0
33,1,1,1,1,1,0,0
34,1,1,1,1,1,0,0
35,1,1,1,1,1,0,0
36,1,1,1,1,1,0,0
37,1,1,1,1,1,0,0
38,1,1,1,1,1,0,0
39,1,1,1,1,1,0,0
40,1,1,1,1,1,0,0
41,1,1,1,1,1,0,0
42,1,1,1,1,1,0,0
43,1,1,1,1,1,0,0
44,1,1,1,1,1,0,0
45,1,1,1,1,1,0,0
46,1,1,1,1,1,0,0
47,1,1,1,1,1,0,0
48,1,1,1,1,1,0,0
49,1,1,1,0,1,0,0
50,1,1,1,0,1,0,0
51,1,1,1,0,1,0,0
52,1,1,1,0,1,0,0
53,1,1,1,0,1,0,0
54,1,1,1,0,1,0,0
55,1,1,1,1,1,0,0
56,3,1,1,1,1,0,0
57,4,1,1,1,1,0,0
58,4,1,1,1,1,0,0
59,5,1,1,1,1,0,0
60,6,1,1,1,1,0,0
61,7,1,1,1,1,0,0
62,7,1,1,1,1,0,0
63,8,1,1,1,1,0,0
64,8,1,1,1,1,0,0
65,8,1,1,1,1,0,0
66,9,1,1,1,1,0,0
67,10,1,1,1,1,0,0
68,10,1,1,1,1,0,0
69,11,2,1,1,1,0,0
70,12,2,1,1,1,0,0
71,12,2,1,7,1,0,0
72,13,2,1,7,7,0,0
73,13,2,1,7,7,0,0
74,13,7,1,7,7,0,0
75,14,7,7,7,7,0,0
76,14,7,7,7,7,0,0
77,14,7,7,7,7,0,0
78,14,7,7,7,7,0,0
79,16,12,7,11,11,0,0
80,16,12,7,11,11,0,0
81,17,12,11,11,11,0,0
82,17,12,11,15,11,0,0
83,18,12,11,15,11,0,0
84,18,12,11,15,16,0,0
85,18,0,11,15,16,0,0
86,19,0,15,15,16,0,0
87,19,0,15,15,16,0,0
88,19,0,15,15,16,0,0
89,19,0,15,15,16,0,0
90,19,0,15,15,16,0,0
91,19,0,15,15,16,0,0
92,19,0,15,15,16,0,0
93,20,0,15,15,16,0,0
94,20,0,15,15,16,0,0
95,20,0,15,15,16,0,0
96,20,0,15,15,16,0,0
97,20,0,15,15,16,0,0
98,20,0,15,15,16,0,0
99,20,0,15,15,16,0,0
100,20,0,15,15,16,0,0
101,20,0,15,15,16,0,0
102,20,0,15,15,16,0,0
103,20,0,15,15,16,0,0
104,20,0,15,15,16,0,0
105,20,0,15,15,16,0,0
106,20,0,15,15,16,0,0
107,20,0,15,15,16,0,0
108,20,0,15,15,16,0,0
109,26,0,15,15,16,0,0
110,22,0,15,30,22,0,0
111,23,22,22,30,22,0,0
112,25,25,25,27,25,0,0
113,27,30,27,19,28,0,0
114,20,30,29,19,28,0,0
115,20,30,29,19,28,0,0
116,28,30,29,0,28,0,0
117,28,30,29,0,19,0,0
118,29,30,29,0,19,0,0
119,29,30,29,0,19,0,0
120,29,19,31,0,19,0,0
121,29,19,19,34,19,0,0
122,29,19,19,34,34,0,0
123,22,19,19,34,34,0,0
124,30,34,19,34,34,0,0
125,30,34,33,34,34,0,0
126,30,34,33,36,34,0,0
127,30,34,33,36,34,0,0
128,31,34,33,36,36,0,0
129,31,36,33,36,36,0,0
130,31,36,33,36,36,0,0
131,31,36,35,36,36,0,0
132,32,36,35,38,36,0,0
133,32,36,35,38,37,0,0
134,32,36,35,38,37,0,0
135,32,37,35,38,37,0,0
136,32,37,35,38,37,0,0
137,32,37,35,38,37,0,0
138,33,37,37,39,37,0,0
139,33,37,37,39,39,0,0
140,33,39,37,39,39,0,0
141,33,39,37,39,39,0,0
142,34,39,38,39,39,0,0
