time,power_root,ID:1,ID:2,ID:3,ID:4,ID:5,ID:6
1,0,0,0,0,0,0,0
2,0,0,0,0,0,0,0
3,0,0,0,0,0,0,0
4,0,0,0,0,0,0,0
5,0,0,0,0,0,0,0
6,0,0,0,0,0,0,0
7,0,0,0,0,0,0,0
8,0,0,0,0,0,0,0
9,0,0,0,0,0,0,0
10,0,0,0,0,0,0,0
11,0,71,0,0,0,0,0
12,1,71,0,0,71,0,0
13,1,71,0,0,71,0,0
14,1,71,0,71,71,0,0
15,1,71,71,71,71,0,0
16,1,71,71,71,71,0,0
17,1,71,71,71,71,0,0
18,1,71,71,71,71,0,0
19,1,71,71,71,71,0,0
20,1,71,71,71,71,0,0
21,1,71,71,71,71,0,0
22,1,71,71,71,71,0,0
23,1,71,71,71,71,0,0
24,1,71,71,71,71,0,0
25,1,71,71,71,71,0,0
26,1,71,1,71,71,0,0
27,1,71,1,71,71,0,0
28,1,71,1,1,71,0,0
29,1,71,1,1,1,0,0
30,1,1,1,1,1,0,0
31,1,1,1,1,1,0,0
32,1,1,1,1,1,0,0
33,1,1,1,1,1,0,0
34,1,1,1,1,1,0,0
35,1,1,1,1,1,0,0
36,1,1,1,1,1,0,0
37,1,1,1,1,1,0,0
38,1,1,1,1,1,0,0
39,1,1,1,1,1,0,0
40,1,1,1,1,1,0,0
41,1,1,1,1,1,0,0
42,1,1,1,1,1,0,0
43,1,1,1,1,1,0,0
44,1,1,1,1,1,0,0
45,1,1,1,1,1,0,0
46,1,1,1,1,1,0,0
47,1,1,1,1,1,0,0
48,1,1,1,1,1,0,0
49,1,1,1,1,1,0,0
50,1,1,1,1,1,0,0
51,1,0,1,1,1,0,0
52,1,0,1,1,1,0,0
53,1,0,1,1,1,0,0
54,1,0,1,1,1,0,0
55,1,0,1,1,1,0,0
56,2,0,1,1,1,0,0
57,3,1,1,1,1,0,0
58,4,1,1,1,1,0,0
59,5,1,1,1,1,0,0
60,6,1,1,0,1,0,0
61,7,1,1,0,1,0,0
62,8,1,1,0,1,0,0
63,9,1,1,0,1,0,0
64,10,1,1,0,1,0,0
65,10,1,1,1,1,0,0
66,11,1,1,1,1,0,0
67,12,1,1,1,1,0,0
68,13,0,1,1,1,0,0
69,13,0,1,1,1,0,0
70,14,0,7,1,1,0,0
71,15,0,7,5,1,0,0
72,16,0,7,5,6,0,0
73,0,0,7,5,6,0,0
74,17,14,7,5,6,0,0
75,18,14,14,5,6,0,0
76,18,14,14,5,6,0,0
77,19,14,14,13,6,0,0
78,19,14,14,13,13,0,0
79,19,19,14,13,13,0,0
80,20,19,14,13,13,0,0
81,21,19,20,13,13,0,0
82,21,19,20,19,13,0,0
83,22,19,20,19,13,0,0
84,22,19,20,19,19,0,0
85,23,0,20,19,19,0,0
86,23,0,25,19,19,0,0
87,24,0,25,19,19,0,0
88,24,0,25,24,19,0,0
89,24,0,25,24,24,0,0
90,24,0,25,24,24,0,0
91,25,29,25,24,24,0,0
92,25,29,0,24,24,0,0
93,26,29,0,28,24,0,0
94,26,29,0,28,24,0,0
95,27,29,0,28,28,0,0
96,27,33,0,28,28,0,0
97,27,33,0,28,28,0,0
98,27,33,33,28,28,0,0
99,28,33,33,32,28,0,0
100,28,33,33,32,31,0,0
101,29,33,33,32,31,0,0
102,29,36,33,32,31,0,0
103,29,36,36,32,31,0,0
104,30,36,36,35,31,0,0
105,30,36,36,35,31,0,0
106,30,36,36,35,35,0,0
107,30,39,36,35,35,0,0
108,31,39,36,35,35,0,0
109,31,39,0,35,35,0,0
110,31,39,0,38,35,0,0
111,31,39,0,38,37,0,0
112,32,39,0,38,37,0,0
113,32,41,0,38,37,0,0
114,32,41,41,38,37,0,0
115,32,41,41,38,37,0,0
116,33,41,41,0,37,0,0
117,33,41,41,0,37,0,0
118,33,41,41,0,37,0,0
119,33,43,41,0,40,0,0
120,33,43,43,0,40,0,0
121,34,43,43,42,40,0,0
122,34,43,43,42,40,0,0
123,34,43,43,42,41,0,0
124,34,45,43,42,41,0,0
125,35,45,45,42,41,0,0
126,35,45,45,42,41,0,0
127,35,45,45,44,41,0,0
128,35,45,45,44,41,0,0
129,35,45,45,44,41,0,0
130,35,47,45,44,43,0,0
131,36,47,45,44,43,0,0
132,36,47,45,44,43,0,0
133,36,47,46,45,43,0,0
134,36,47,46,45,45,0,0
135,36,47,46,45,45,0,0
136,36,47,46,45,45,0,0
137,37,48,48,45,45,0,0
138,37,48,48,47,45,0,0
139,37,48,48,47,47,0,0
140,37,48,48,47,47,0,0
141,37,50,48,47,47,0,0
142,38,50,49,47,47,0,0
143,38,50,49,47,47,0,0
144,38,50,49,47,47,0,0
145,38,50,49,47,47,0,0
146,38,50,49,47,47,0,0
147,38,50,49,47,47,0,0
148,38,50,49,47,47,0,0
149,38,50,49,47,47,0,0
150,38,50,49,47,47,0,0
151,38,50,49,47,47,0,0
152,38,50,49,47,47,0,0
153,38,50,49,47,47,0,0
154,38,50,49,47,47,0,0
155,38,50,49,47,47,0,0
156,38,50,49,47,47,0,0
157,38,50,49,47,47,0,0
158,38,50,49,47,47,0,0
159,38,50,49,47,47,0,0
160,38,50,49,47,47,0,0
161,38,50,49,47,47,0,0
162,38,50,49,47,47,0,0
163,38,50,49,47,47,0,0
164,38,50,49,47,47,0,0
165,38,50,49,47,47,0,0
166,39,50,49,53,47,0,0
167,41,52,51,53,52,0,0
168,40,53,51,51,50,0,0
169,41,54,53,48,51,0,0
170,38,54,54,48,51,0,0
171,42,54,54,48,51,0,0
172,42,54,54,54,48,0,0
173,42,54,54,54,53,0,0
174,42,54,54,54,53,0,0
175,42,54,54,54,53,0,0
176,42,51,55,54,53,0,0
177,42,51,55,54,53,0,0
178,42,51,55,54,53,0,0
179,42,51,55,54,53,0,0
180,42,51,55,54,53,0,0
181,42,51,55,54,53,0,0
182,42,51,55,54,53,0,0
183,42,51,55,54,53,0,0
184,38,51,55,54,53,0,0
185,38,51,55,54,53,0,0
186,42,56,56,54,54,0,0
187,42,56,56,54,54,0,0
188,42,56,56,54,54,0,0
189,42,56,56,54,54,0,0
190,42,56,56,54,54,0,0
191,42,56,56,54,54,0,0
192,42,56,56,54,54,0,0
193,42,56,56,54,54,0,0
194,42,56,56,54,54,0,0
195,42,56,56,54,54,0,0
196,42,56,56,54,54,0,0
197,42,56,56,54,54,0,0
198,42,56,56,54,54,0,0
199,42,56,56,54,54,0,0
200,42,56,56,54,54,0,0
201,42,56,56,54,54,0,0
202,42,56,56,54,54,0,0
203,42,56,56,54,54,0,0
204,43,59,56,54,54,0,0
205,43,59,59,56,55,0,0
206,44,58,58,58,56,0,0
207,43,58,58,57,57,0,0
208,45,58,58,57,57,0,0
209,45,58,58,55,57,0,0
210,45,59,58,55,57,0,0
211,43,59,59,55,57,0,0
212,45,59,59,58,55,0,0
213,45,59,59,58,55,0,0
214,45,59,59,58,55,0,0
215,45,59,59,58,55,0,0
216,45,60,60,58,58,0,0
217,45,60,60,58,58,0,0
218,45,60,60,59,58,0,0
219,46,60,60,59,0,0,0
220,46,60,60,59,0,0,0
221,46,60,60,59,0,0,0
222,46,60,0,59,0,0,0
223,46,60,0,59,0,0,0
224,46,60,0,59,0,0,0
225,46,60,0,59,59,0,0
226,46,61,0,59,59,0,0
227,46,61,0,59,59,0,0
228,46,61,0,59,59,0,0
229,46,61,61,59,59,0,0
230,46,61,61,60,60,0,0
231,46,61,61,60,60,0,0
232,46,61,61,60,60,0,0
233,46,61,61,60,60,0,0
234,46,61,61,60,60,0,0
235,47,61,61,60,60,0,0
236,47,61,61,60,60,0,0
237,47,62,61,60,60,0,0
238,47,62,61,60,60,0,0
239,47,62,61,60,60,0,0
240,47,62,61,61,60,0,0
241,47,62,61,61,60,0,0
242,47,62,61,61,60,0,0
243,47,62,61,61,60,0,0
244,47,62,62,61,60,0,0
245,47,62,62,61,60,0,0
246,47,62,62,61,60,0,0
247,47,62,62,61,61,0,0
248,47,62,62,61,61,0,0
249,47,62,62,61,61,0,0
250,47,62,62,61,61,0,0
251,47,62,62,62,61,0,0
252,47,62,62,62,61,0,0
253,47,62,62,62,61,0,0
254,47,62,62,62,0,0,0
255,48,63,62,62,0,0,0
256,48,63,62,62,0,0,0
257,47,63,62,62,0,0,0
258,47,63,62,62,0,0,0
259,48,63,63,62,62,0,0
260,48,63,63,62,62,0,0
261,48,63,63,62,62,0,0
262,48,63,63,0,62,0,0
263,48,63,63,0,62,0,0
264,48,63,63,0,62,0,0
265,48,63,63,0,62,0,0
266,48,63,63,0,62,0,0
267,48,63,63,0,62,0,0
268,48,63,63,0,62,0,0
269,48,63,63,63,62,0,0
270,48,63,63,63,62,0,0
271,48,64,63,63,62,0,0
272,48,64,63,63,62,0,0
273,48,64,63,63,62,0,0
274,49,64,63,63,62,0,0
275,49,64,63,63,63,0,0
276,49,64,63,63,63,0,0
277,49,64,63,63,63,0,0
278,49,64,63,63,63,0,0
279,49,64,63,63,63,0,0
280,49,64,63,63,63,0,0
281,49,64,63,63,63,0,0
282,49,64,63,63,63,0,0
283,49,64,63,63,63,0,0
284,49,64,63,63,63,0,0
285,49,64,63,63,63,0,0
286,49,64,63,63,63,0,0
287,49,64,63,63,63,0,0
288,49,64,63,63,63,0,0
289,49,64,63,63,63,0,0
290,49,64,63,63,63,0,0
291,49,64,63,63,63,0,0
292,49,64,63,63,63,0,0
293,49,64,63,63,63,0,0
294,49,64,63,63,63,0,0
295,49,64,63,63,63,0,0
296,49,64,63,64,63,0,0
297,49,0,64,64,64,0,0
298,49,0,64,64,64,0,0
299,49,0,64,64,63,0,0
300,50,65,64,64,63,0,0
301,50,65,64,64,63,0,0
302,50,65,64,64,63,0,0
303,50,65,64,63,64,0,0
304,49,65,64,63,64,0,0
305,50,65,64,63,64,0,0
306,50,65,65,63,64,0,0
307,50,65,65,65,64,0,0
308,50,65,65,65,64,0,0
309,50,65,65,65,64,0,0
310,50,65,65,65,64,0,0
311,50,65,65,65,64,0,0
312,50,65,65,65,64,0,0
313,50,65,65,65,64,0,0
314,50,65,65,65,65,0,0
315,50,66,65,65,65,0,0
316,50,66,65,65,65,0,0
317,50,66,65,65,65,0,0
318,50,66,65,65,65,0,0
319,50,66,65,65,65,0,0
320,50,66,65,65,65,0,0
321,50,66,65,65,65,0,0
322,50,66,66,65,65,0,0
323,50,66,66,65,65,0,0
324,50,66,66,65,65,0,0
325,50,66,66,65,65,0,0
326,50,66,66,65,65,0,0
327,50,66,66,65,65,0,0
328,50,66,66,65,65,0,0
329,50,66,66,65,65,0,0
330,50,66,66,65,65,0,0
331,50,66,66,65,65,0,0
332,50,66,66,65,65,0,0
333,50,66,66,65,65,0,0
334,50,66,66,65,65,0,0
335,50,66,66,65,65,0,0
336,50,66,66,65,65,0,0
337,50,66,66,65,65,0,0
338,50,66,66,65,65,0,0
339,50,66,66,65,65,0,0
340,50,66,66,65,65,0,0
341,50,66,66,65,65,0,0
342,50,66,66,65,65,0,0
343,50,66,66,65,65,0,0
344,50,66,66,65,65,0,0
345,50,66,66,65,65,0,0
346,50,66,66,65,65,0,0
347,50,66,66,65,65,0,0
348,51,66,66,65,66,0,0
349,51,0,66,66,65,0,0
350,51,66,67,66,66,0,0
351,51,67,66,66,66,0,0
352,51,67,66,66,65,0,0
353,51,67,66,66,66,0,0
354,51,67,66,66,66,0,0
355,51,67,66,66,66,0,0
356,51,66,67,66,66,0,0
357,51,66,67,66,66,0,0
358,51,66,66,66,66,0,0
359,51,66,66,66,66,0,0
360,51,66,66,66,66,0,0
361,51,67,66,65,66,0,0
362,51,67,67,65,66,0,0
363,51,67,67,65,66,0,0
364,51,67,67,67,66,0,0
365,51,67,67,67,66,0,0
366,51,67,67,67,66,0,0
367,51,67,67,67,66,0,0
368,51,67,67,67,66,0,0
369,52,67,67,67,66,0,0
370,52,67,67,67,66,0,0
371,52,67,67,67,66,0,0
372,52,67,67,67,66,0,0
373,52,67,67,67,66,0,0
374,52,67,67,0,66,0,0
375,52,67,67,0,66,0,0
376,52,67,67,0,67,0,0
377,52,68,67,0,67,0,0
378,52,68,67,0,67,0,0
379,52,68,67,0,67,0,0
380,52,68,67,67,67,0,0
381,52,68,67,67,67,0,0
382,52,68,67,67,67,0,0
383,52,68,67,67,67,0,0
384,52,68,0,67,67,0,0
385,52,68,0,67,67,0,0
386,52,68,0,67,67,0,0
387,52,68,0,67,67,0,0
388,52,68,0,67,67,0,0
389,52,68,0,67,67,0,0
390,52,68,68,67,67,0,0
391,52,68,68,67,67,0,0
392,52,68,68,67,67,0,0
393,52,68,68,67,67,0,0
394,52,68,68,67,67,0,0
395,52,68,68,67,67,0,0
396,52,68,68,67,67,0,0
397,52,68,68,67,67,0,0
398,52,68,68,67,67,0,0
399,52,68,68,67,67,0,0
400,52,68,68,67,67,0,0
401,52,68,68,67,67,0,0
402,52,68,68,67,67,0,0
403,52,68,68,67,67,0,0
404,52,68,68,68,67,0,0
405,52,68,68,68,67,0,0
406,52,68,68,68,67,0,0
407,52,68,68,68,67,0,0
408,52,68,68,68,67,0,0
409,52,68,68,68,0,0,0
410,52,68,68,68,0,0,0
411,52,68,68,68,0,0,0
412,52,68,68,68,0,0,0
413,52,68,68,68,0,0,0
414,52,68,68,68,68,0,0
415,52,68,68,68,68,0,0
416,52,68,68,68,68,0,0
417,52,68,68,68,68,0,0
418,53,68,68,68,68,0,0
419,53,68,68,68,68,0,0
420,53,68,68,68,68,0,0
421,53,69,68,68,68,0,0
422,53,69,68,68,68,0,0
423,53,69,68,68,68,0,0
424,53,69,68,68,68,0,0
425,53,69,68,68,68,0,0
426,53,69,68,68,68,0,0
427,53,69,68,68,68,0,0
428,53,69,68,68,68,0,0
429,53,69,68,68,68,0,0
430,53,69,68,68,68,0,0
431,53,69,68,68,68,0,0
432,53,69,68,68,68,0,0
433,53,69,68,68,68,0,0
434,53,69,68,68,68,0,0
435,53,69,68,68,68,0,0
436,53,69,68,68,68,0,0
437,53,69,68,68,68,0,0
438,53,69,68,68,68,0,0
439,53,69,68,68,68,0,0
440,53,69,68,68,68,0,0
441,53,69,68,68,68,0,0
442,53,69,68,68,68,0,0
443,53,69,68,68,68,0,0
444,53,69,68,68,68,0,0
445,53,69,68,68,68,0,0
446,53,69,68,68,68,0,0
447,53,69,68,68,68,0,0
448,53,69,68,68,68,0,0
449,53,69,69,68,68,0,0
450,53,69,69,68,68,0,0
451,53,0,0,69,68,0,0
452,53,0,69,69,68,0,0
453,53,0,69,69,68,0,0
454,53,69,69,69,68,0,0
455,53,69,69,69,68,0,0
456,53,69,69,69,68,0,0
457,53,69,69,68,68,0,0
458,53,69,69,68,69,0,0
459,53,69,69,68,69,0,0
460,53,69,69,68,69,0,0
461,53,69,69,68,69,0,0
462,53,69,69,69,69,0,0
463,53,69,69,69,69,0,0
464,53,69,69,69,69,0,0
465,53,69,69,69,69,0,0
466,53,69,69,69,69,0,0
467,53,69,69,69,69,0,0
468,53,69,69,69,69,0,0
469,53,69,69,69,69,0,0
470,53,69,69,69,69,0,0
471,53,69,69,69,69,0,0
